season,opponent,venue,latitude,longitude
2001,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2001,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2001,South Alabama,Eddie Stanky Field,30.6931,-88.1676
2001,The Citadel,Riley Park,32.782,-79.9394
2001,Towson,John B. Schuerholz Park,39.3971,-76.5994
2001,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2001,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2001,UNC Wilmington,Brooks Field,34.2273,-77.8709
2001,Virginia,Disharoon Park,38.03,-78.5155
2001,Virginia Commonwealth,Pate Field,37.5478,-77.474
2001,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2001,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2001,William & Mary,Plumeri Park,37.2746,-76.7142
2001,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2002,Appalachian State,Beaver Field,36.2139,-81.6829
2002,Auburn,Plainsman Park,32.592,-85.494
2002,California,Evans Diamond,37.8719,-122.2583
2002,Charlotte,Hayes Stadium,35.3058,-80.7327
2002,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2002,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2002,Connecticut,Elliot Ballpark,41.808,-72.2513
2002,Coppin State,Joseph Postell Baseball Stadium,39.3371,-76.6451
2002,Davidson,Wilson Field,35.4993,-80.847
2002,Duke,Jack Coombs Field,36.0014,-78.9381
2002,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2002,Elon,Latham Park,36.1023,-79.4952
2002,Florida State,Dick Howser Stadium,30.443,-84.2977
2002,Georgia,Foley Field,33.948,-83.3733
2002,Georgia Tech,Mac Nease Park,33.774,-84.3975
2002,High Point,Williard Stadium,35.9557,-80.0053
2002,James Madison,Eagle Field,38.4341,-78.8711
2002,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2002,Maryland,Shipley Field,38.9886,-76.949
2002,Miami,Mark Light Field,25.7189,-80.2775
2002,Michigan State,Kobs Field,42.7249,-84.4837
2002,NC State,Doak Field,35.7826,-78.6986
2002,North Carolina,Boshamer Stadium,35.9115,-79.0528
2002,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2002,Princeton,Clarke Field,40.3501,-74.6564
2002,Richmond,Pitt Field,37.5671,-77.5387
2002,Saint Joseph's,Brennan Family Field,39.9924,-75.2268
2002,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2002,South Carolina,Sarge Frye Field,34.0007,-81.0204
2002,The Citadel,Riley Park,32.782,-79.9394
2002,Towson,John B. Schuerholz Park,39.3971,-76.5994
2002,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2002,UNC Wilmington,Brooks Field,34.2273,-77.8709
2002,Virginia,Disharoon Park,38.03,-78.5155
2002,Virginia Commonwealth,Pate Field,37.5478,-77.474
2002,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2003,Appalachian State,Beaver Field,36.2139,-81.6829
2003,Auburn,Plainsman Park,32.592,-85.494
2003,Ball State,First Merchants Ballpark,40.1877,-85.3863
2003,Boston College,Harrington Field,42.3353,-71.1675
2003,Charlotte,Hayes Stadium,35.3058,-80.7327
2003,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2003,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2003,Davidson,Wilson Field,35.4993,-80.847
2003,Delaware State,Soldier Field,39.1552,-75.5238
2003,Duke,Jack Coombs Field,36.0014,-78.9381
2003,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2003,Elon,Latham Park,36.1023,-79.4952
2003,Florida State,Dick Howser Stadium,30.443,-84.2977
2003,Furman,Latham Baseball Stadium,34.9268,-82.4429
2003,Georgia Tech,Mac Nease Park,33.774,-84.3975
2003,High Point,Williard Stadium,35.9557,-80.0053
2003,Hofstra,University Field,40.717,-73.596
2003,Le Moyne,Brisson Field,43.0654,-76.1434
2003,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2003,Marshall,Kennedy Center Baseball Complex,38.4192,-82.4452
2003,Maryland,Shipley Field,38.9886,-76.949
2003,Miami,Mark Light Field,25.7189,-80.2775
2003,Michigan State,Kobs Field,42.7249,-84.4837
2003,Mississippi State,Dudy Noble Field,33.46,-88.823
2003,Missouri,Taylor Stadium,38.9399,-92.328
2003,Monmouth,Hank Patterson Stadium,40.3107,-74.0299
2003,NC State,Doak Field,35.7826,-78.6986
2003,North Carolina,Boshamer Stadium,35.9115,-79.0528
2003,Oklahoma State,O'Brate Stadium,36.130975,-97.068777
2003,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2003,Princeton,Clarke Field,40.3501,-74.6564
2003,Richmond,Pitt Field,37.5671,-77.5387
2003,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2003,South Carolina,Sarge Frye Field,34.0007,-81.0204
2003,St. John's,Dal Mutone Field,40.7282,-73.8019
2003,The Citadel,Riley Park,32.782,-79.9394
2003,Towson,John B. Schuerholz Park,39.3971,-76.5994
2003,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2003,UNC Wilmington,Brooks Field,34.2273,-77.8709
2003,VMI,Gray-Minor Stadium,37.7886,-79.4413
2003,Villanova,Villanova Baseball Complex,40.0361,-75.3435
2003,Virginia,Disharoon Park,38.03,-78.5155
2003,Virginia Commonwealth,Pate Field,37.5478,-77.474
2003,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2003,Western Carolina,Hennon Stadium,35.3084,-83.1961
2003,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2004,Appalachian State,Beaver Field,36.2139,-81.6829
2004,California,Evans Diamond,37.8719,-122.2583
2004,Campbell,Jim Perry Stadium,35.4065,-78.478
2004,Charlotte,Hayes Stadium,35.3058,-80.7327
2004,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2004,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2004,College of Charleston,Patriots Point,32.7857,-79.9152
2004,Davidson,Wilson Field,35.4993,-80.847
2004,Duke,Jack Coombs Field,36.0014,-78.9381
2004,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2004,Elon,Latham Park,36.1023,-79.4952
2004,Florida Atlantic,FAU Stadium,26.3758,-80.102
2004,Florida State,Dick Howser Stadium,30.443,-84.2977
2004,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2004,Georgia Tech,Mac Nease Park,33.774,-84.3975
2004,High Point,Williard Stadium,35.9557,-80.0053
2004,Maryland,Shipley Field,38.9886,-76.949
2004,Miami,Mark Light Field,25.7189,-80.2775
2004,NC State,Doak Field,35.7826,-78.6986
2004,Nebraska,Haymarket Park,40.8093,-96.7124
2004,North Carolina,Boshamer Stadium,35.9115,-79.0528
2004,Northeastern,Friedman Diamond,42.3369,-71.1139
2004,Northwestern State,Brown-Stroud Field,31.6298,-93.0955
2004,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2004,Princeton,Clarke Field,40.3501,-74.6564
2004,Rice,Rice's Reckling Park,29.7176,-95.3991
2004,Saint Francis,DeGol Field,40.3085,-78.6326
2004,San Diego State,Tony Gwynn Stadium,32.7631,-117.07
2004,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2004,South Carolina,Sarge Frye Field,34.0007,-81.0204
2004,Texas,UFCU Disch-Falk Field,30.278,-97.7267
2004,The Citadel,Riley Park,32.782,-79.9394
2004,Towson,John B. Schuerholz Park,39.3971,-76.5994
2004,UNC Asheville,Greenwood Field,35.5697,-82.5567
2004,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2004,UNC Wilmington,Brooks Field,34.2273,-77.8709
2004,Virginia,Disharoon Park,38.03,-78.5155
2004,Virginia Commonwealth,Pate Field,37.5478,-77.474
2004,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2005,Appalachian State,Beaver Field,36.2139,-81.6829
2005,Arizona State,Phoenix Muni Stadium,33.4161,-111.9302
2005,Birmingham Southern,Joe Lee Griffin Stadium,33.5184,-86.8003
2005,Campbell,Jim Perry Stadium,35.4065,-78.478
2005,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2005,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2005,College of Charleston,Patriots Point,32.7857,-79.9152
2005,Creighton,Mercado Family Field,41.2606,-95.9446
2005,Davidson,Wilson Field,35.4993,-80.847
2005,Duke,Jack Coombs Field,36.0014,-78.9381
2005,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2005,Elon,Latham Park,36.1023,-79.4952
2005,Florida,McKethan Stadium,29.6497,-82.3497
2005,Florida State,Dick Howser Stadium,30.443,-84.2977
2005,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2005,Georgia Tech,Mac Nease Park,33.774,-84.3975
2005,High Point,Williard Stadium,35.9557,-80.0053
2005,Illinois-Chicago,Les Miller Field,41.865027,-87.64936
2005,Maryland,Shipley Field,38.9886,-76.949
2005,Miami,Mark Light Field,25.7189,-80.2775
2005,Michigan,Ray Fisher Stadium,42.2676,-83.7484
2005,NC State,Doak Field,35.7826,-78.6986
2005,North Carolina,Boshamer Stadium,35.9115,-79.0528
2005,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2005,Ohio State,Bill Davis Stadium,40.001,-83.01
2005,Princeton,Clarke Field,40.3501,-74.6564
2005,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2005,The Citadel,Riley Park,32.782,-79.9394
2005,Towson,John B. Schuerholz Park,39.3971,-76.5994
2005,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2005,UNC Wilmington,Brooks Field,34.2273,-77.8709
2005,Virginia,Disharoon Park,38.03,-78.5155
2005,Virginia Commonwealth,Pate Field,37.5478,-77.474
2005,Virginia Tech,English Field,37.2296,-80.4139
2005,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2005,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2006,Alabama,Sewell-Thomas Stadium,33.2102,-87.5497
2006,Appalachian State,Beaver Field,36.2139,-81.6829
2006,Boston College,Harrington Field,42.3353,-71.1675
2006,Cal State Fullerton,Goodwin Field,33.8825,-117.8853
2006,Campbell,Jim Perry Stadium,35.4065,-78.478
2006,Charlotte,Hayes Stadium,35.3058,-80.7327
2006,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2006,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2006,Davidson,Wilson Field,35.4993,-80.847
2006,Duke,Jack Coombs Field,36.0014,-78.9381
2006,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2006,Elon,Latham Park,36.1023,-79.4952
2006,Florida State,Dick Howser Stadium,30.443,-84.2977
2006,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2006,George Mason,Spuhler Field,38.831,-77.3075
2006,George Washington,Tucker Field,38.8986,-77.048
2006,Georgia Tech,Mac Nease Park,33.774,-84.3975
2006,High Point,Williard Stadium,35.9557,-80.0053
2006,Maine,Mahaney Diamond,44.898,-68.6707
2006,Maryland,Shipley Field,38.9886,-76.949
2006,Miami,Mark Light Field,25.7189,-80.2775
2006,NC State,Doak Field,35.7826,-78.6986
2006,Nebraska,Haymarket Park,40.8093,-96.7124
2006,North Carolina,Boshamer Stadium,35.9115,-79.0528
2006,Oregon State,Goss Stadium,44.5634,-123.2838
2006,Penn State,Medlar Field at Lubrano Park,40.7926,-77.8538
2006,Purdue,Lambert Field,40.432,-86.9211
2006,Richmond,Pitt Field,37.5671,-77.5387
2006,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2006,Stanford,Sunken Diamond,37.4344,-122.1633
2006,Texas,UFCU Disch-Falk Field,30.278,-97.7267
2006,Texas-Arlington,Clay Gould Ballpark,32.7357,-97.1081
2006,The Citadel,Riley Park,32.782,-79.9394
2006,Towson,John B. Schuerholz Park,39.3971,-76.5994
2006,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2006,UNC Wilmington,Brooks Field,34.2273,-77.8709
2006,Virginia,Disharoon Park,38.03,-78.5155
2006,Virginia Commonwealth,Pate Field,37.5478,-77.474
2006,Virginia Tech,English Field,37.2296,-80.4139
2006,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2006,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2006,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2007,Boston College,Harrington Field,42.3353,-71.1675
2007,Campbell,Jim Perry Stadium,35.4065,-78.478
2007,Charlotte,Hayes Stadium,35.3058,-80.7327
2007,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2007,Davidson,Wilson Field,35.4993,-80.847
2007,Duke,Jack Coombs Field,36.0014,-78.9381
2007,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2007,Elon,Latham Park,36.1023,-79.4952
2007,Florida State,Dick Howser Stadium,30.443,-84.2977
2007,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2007,Georgia Tech,Mac Nease Park,33.774,-84.3975
2007,High Point,Williard Stadium,35.9557,-80.0053
2007,Jacksonville,John Sessions Stadium,30.3436,-81.6408
2007,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2007,Maryland,Shipley Field,38.9886,-76.949
2007,Miami,Mark Light Field,25.7189,-80.2775
2007,Mississippi State,Dudy Noble Field,33.46,-88.823
2007,NC State,Doak Field,35.7826,-78.6986
2007,North Carolina,Boshamer Stadium,35.9115,-79.0528
2007,Oregon State,Goss Stadium,44.5634,-123.2838
2007,Penn State,Medlar Field at Lubrano Park,40.7926,-77.8538
2007,Pepperdine,Eddy D. Field Stadium,34.0311,-118.7106
2007,Rice,Rice's Reckling Park,29.7176,-95.3991
2007,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2007,South Carolina,Sarge Frye Field,34.0007,-81.0204
2007,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2007,TCU,Lupton Stadium,32.7294,-97.2924
2007,Temple,Skip Wilson Field,40.0051,-75.1931
2007,Towson,John B. Schuerholz Park,39.3971,-76.5994
2007,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2007,UNC Wilmington,Brooks Field,34.2273,-77.8709
2007,Virginia,Disharoon Park,38.03,-78.5155
2007,Virginia Tech,English Field,37.2296,-80.4139
2007,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2007,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2007,Western Carolina,Hennon Stadium,35.3084,-83.1961
2007,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2007,Wofford,Russell C. King Field,34.9329,-81.9329
2008,Appalachian State,Beaver Field,36.2139,-81.6829
2008,Boston College,Harrington Field,42.3353,-71.1675
2008,Campbell,Jim Perry Stadium,35.4065,-78.478
2008,Charlotte,Hayes Stadium,35.3058,-80.7327
2008,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2008,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2008,Davidson,Wilson Field,35.4993,-80.847
2008,Duke,Jack Coombs Field,36.0014,-78.9381
2008,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2008,Elon,Latham Park,36.1023,-79.4952
2008,Florida Atlantic,FAU Stadium,26.3758,-80.102
2008,Florida State,Dick Howser Stadium,30.443,-84.2977
2008,Fresno State,Pete Bieden Field,36.8141,-119.7475
2008,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2008,Georgia,Foley Field,33.948,-83.3733
2008,Georgia Tech,Mac Nease Park,33.774,-84.3975
2008,High Point,Williard Stadium,35.9557,-80.0053
2008,Kent State,Schoonover Stadium,41.1467,-81.3345
2008,LSU,Alex Box Stadium,30.4128,-91.1859
2008,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2008,Marshall,Kennedy Center Baseball Complex,38.4192,-82.4452
2008,Maryland,Shipley Field,38.9886,-76.949
2008,Miami,Mark Light Field,25.7189,-80.2775
2008,Mount St. Mary's,Wagner Field,39.721,-77.3249
2008,NC State,Doak Field,35.7826,-78.6986
2008,North Carolina,USA Baseball NTC,35.776,-78.7804
2008,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2008,North Florida,Harmon Stadium,30.2665,-81.5021
2008,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2008,Princeton,Clarke Field,40.3501,-74.6564
2008,Quinnipiac,Quinnipiac Baseball Complex,41.419878,-72.891449
2008,St. John's,Dal Mutone Field,40.7282,-73.8019
2008,The Citadel,Riley Park,32.782,-79.9394
2008,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2008,UNC Wilmington,Brooks Field,34.2273,-77.8709
2008,Virginia,Disharoon Park,38.03,-78.5155
2008,Virginia Commonwealth,Pate Field,37.5478,-77.474
2008,Virginia Tech,English Field,37.2296,-80.4139
2008,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2008,William & Mary,Plumeri Park,37.2746,-76.7142
2008,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2009,Akron,Lee Jackson Field,41.0755,-81.5095
2009,Appalachian State,Beaver Field,36.2139,-81.6829
2009,Arizona State,Phoenix Muni Stadium,33.4161,-111.9302
2009,Boston College,Harrington Field,42.3353,-71.1675
2009,Campbell,Jim Perry Stadium,35.4065,-78.478
2009,Charlotte,Hayes Stadium,35.3058,-80.7327
2009,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2009,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2009,Dartmouth,Red Rolfe Field,43.7033,-72.2988
2009,Davidson,Wilson Field,35.4993,-80.847
2009,Duke,Jack Coombs Field,36.0014,-78.9381
2009,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2009,Elon,Latham Park,36.1023,-79.4952
2009,Florida State,Dick Howser Stadium,30.443,-84.2977
2009,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2009,Georgia Tech,Mac Nease Park,33.774,-84.3975
2009,High Point,Williard Stadium,35.9557,-80.0053
2009,Kansas,Hoglund Ballpark,38.9508,-95.2447
2009,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2009,Longwood,Buddy Bolding Stadium,37.2933,-78.3979
2009,Maryland,Shipley Field,38.9886,-76.949
2009,Miami,Mark Light Field,25.7189,-80.2775
2009,NC State,Doak Field,35.7826,-78.6986
2009,North Carolina,Boshamer Stadium,35.9115,-79.0528
2009,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2009,Princeton,Clarke Field,40.3501,-74.6564
2009,Richmond,Pitt Field,37.5671,-77.5387
2009,Santa Clara,Stephen Schott Stadium,37.3521,-121.9392
2009,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2009,Southern Miss,Pete Taylor Park,31.3283,-89.3373
2009,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2009,UNC Wilmington,Brooks Field,34.2273,-77.8709
2009,VMI,Gray-Minor Stadium,37.7886,-79.4413
2009,Villanova,Villanova Baseball Complex,40.0361,-75.3435
2009,Virginia,Disharoon Park,38.03,-78.5155
2009,Virginia Tech,English Field,37.2296,-80.4139
2009,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2009,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2010,California,Evans Diamond,37.8719,-122.2583
2010,Campbell,Jim Perry Stadium,35.4065,-78.478
2010,Charlotte,Hayes Stadium,35.3058,-80.7327
2010,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2010,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2010,College of Charleston,Patriots Point,32.7857,-79.9152
2010,Coppin State,Joseph Postell Baseball Stadium,39.3371,-76.6451
2010,Davidson,Wilson Field,35.4993,-80.847
2010,Duke,Jack Coombs Field,36.0014,-78.9381
2010,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2010,Elon,Latham Park,36.1023,-79.4952
2010,Florida State,Dick Howser Stadium,30.443,-84.2977
2010,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2010,George Washington,Tucker Field,38.8986,-77.048
2010,Georgia Tech,Mac Nease Park,33.774,-84.3975
2010,High Point,Williard Stadium,35.9557,-80.0053
2010,James Madison,Eagle Field,38.4341,-78.8711
2010,Maine,Mahaney Diamond,44.898,-68.6707
2010,Maryland,Shipley Field,38.9886,-76.949
2010,Miami,Mark Light Field,25.7189,-80.2775
2010,Michigan,Ray Fisher Stadium,42.2676,-83.7484
2010,NC Central,Durham Athletic Park,35.9851,-78.9131
2010,NC State,Doak Field,35.7826,-78.6986
2010,North Carolina,Boshamer Stadium,35.9115,-79.0528
2010,Oklahoma,L Dale Mitchell Park,35.1993,-97.436
2010,Oral Roberts,J.L. Johnson Stadium,36.1561,-95.9347
2010,Princeton,Clarke Field,40.3501,-74.6564
2010,Quinnipiac,Quinnipiac Baseball Complex,41.419878,-72.891449
2010,Richmond,Pitt Field,37.5671,-77.5387
2010,St. John's,Dal Mutone Field,40.7282,-73.8019
2010,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2010,UC Irvine,Cicerone Field,33.6459,-117.8365
2010,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2010,UNC Wilmington,Brooks Field,34.2273,-77.8709
2010,Virginia,Disharoon Park,38.03,-78.5155
2010,Virginia Tech,English Field,37.2296,-80.4139
2010,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2010,William & Mary,Plumeri Park,37.2746,-76.7142
2010,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2011,Appalachian State,Beaver Field,36.2139,-81.6829
2011,Boston College,Harrington Field,42.3353,-71.1675
2011,Buffalo,Amherst Audubon Field,42.944,-78.8048
2011,Cal Poly,Bob Janssen Field,35.2997,-120.6579
2011,Cal State Fullerton,Goodwin Field,33.8825,-117.8853
2011,California,Evans Diamond,37.8719,-122.2583
2011,Campbell,Jim Perry Stadium,35.4065,-78.478
2011,Charlotte,Hayes Stadium,35.3058,-80.7327
2011,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2011,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2011,Davidson,Wilson Field,35.4993,-80.847
2011,Duke,Jack Coombs Field,36.0014,-78.9381
2011,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2011,Elon,Latham Park,36.1023,-79.4952
2011,Florida State,Dick Howser Stadium,30.443,-84.2977
2011,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
